epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6475329874016398,0.41000000000000003,0.31200988771577004,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,118.43729305267334
2,0.6014322281527005,0.435,0.3271190476190476,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,117.64726185798645
3,0.5209948325114284,0.40499999999999997,0.33957887116199137,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,117.47258925437927
4,0.3897145917679337,0.37,0.30926306543697846,0.2608695652173913,0.23076923076923078,0.3,0.43333333333333335,3,10,10,7,30,10,117.66581559181213
5,0.29009930963674896,0.31500000000000006,0.348742907419378,0.11764705882352941,0.14285714285714285,0.1,0.5,1,6,14,9,30,10,117.70846343040466
