epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6927039755715264,0.35,0.3181587091069849,0.3870967741935484,0.2857142857142857,0.6,0.36666666666666664,6,15,5,4,30,10,3.280545473098755
2,0.6958073940542009,0.345,0.30456896551724133,0.19047619047619047,0.18181818181818182,0.2,0.43333333333333335,2,9,11,8,30,10,3.0264272689819336
3,0.6970918989843793,0.325,0.28580477563076045,0.3870967741935484,0.2857142857142857,0.6,0.36666666666666664,6,15,5,4,30,10,3.1574771404266357
4,0.7299856046835581,0.28,0.27251082251082254,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.075205087661743
5,0.7105060550901625,0.31,0.28038642583470175,0.3448275862068966,0.2631578947368421,0.5,0.36666666666666664,5,14,6,5,30,10,3.0635428428649902
6,0.6804335597488615,0.305,0.2808835281475935,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,3.104881763458252
