epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7055046227243211,0.4750000000000001,0.39461392680283236,0.48484848484848486,0.34782608695652173,0.8,0.43333333333333335,8,15,5,2,30,10,4.061641216278076
2,0.6831565433078342,0.48,0.36159624689036457,0.42857142857142855,0.3333333333333333,0.6,0.4666666666666667,6,12,8,4,30,10,3.704151153564453
3,0.6201186031103134,0.5549999999999999,0.4081195466692424,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,3.724104166030884
4,0.5509461147917641,0.65,0.46171052631578946,0.0,0.0,0.0,0.5666666666666667,0,3,17,10,30,10,3.708625555038452
5,0.3843423045343823,0.55,0.5102228327228326,0.5,0.5,0.5,0.6666666666666666,5,5,15,5,30,10,3.6729378700256348
6,0.2660054771436585,0.5900000000000001,0.45074659639877035,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.718003273010254
7,0.18495965749025345,0.61,0.44447916013133404,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.6923012733459473
