epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6843124495612251,0.725,0.6857939474318784,0.18181818181818182,1.0,0.1,0.7,1,0,20,9,30,10,4.01401686668396
2,0.6465825306044685,0.67,0.5659124788255223,0.47058823529411764,0.3333333333333333,0.8,0.4,8,16,4,2,30,10,3.687304973602295
3,0.5700452211830351,0.6900000000000001,0.6611528822055137,0.6,0.6,0.6,0.7333333333333333,6,4,16,4,30,10,3.7016072273254395
4,0.43890152871608734,0.75,0.5980603454516498,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,3.7033233642578125
5,0.28563423454761505,0.67,0.486474358974359,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.7036380767822266
6,0.19280188447899288,0.6649999999999999,0.5171157827679567,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.717197895050049
7,0.12059358631571133,0.675,0.5185658165364048,0.2857142857142857,0.5,0.2,0.6666666666666666,2,2,18,8,30,10,3.718550205230713
