epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7019427352481418,0.67,0.56652118802754,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,7.668340444564819
2,0.6911105281776853,0.7150000000000001,0.63670653907496,0.18181818181818182,1.0,0.1,0.7,1,0,20,9,30,10,7.1927831172943115
3,0.7015578183862898,0.6600000000000001,0.5544871794871794,0.3157894736842105,0.3333333333333333,0.3,0.5666666666666667,3,6,14,7,30,10,7.186492204666138
4,0.6816286113527086,0.74,0.5989815054878576,0.7,0.7,0.7,0.8,7,3,17,3,30,10,7.177435874938965
5,0.6264251371224722,0.78,0.6777077497665732,0.42857142857142855,0.75,0.3,0.7333333333333333,3,1,19,7,30,10,7.175171375274658
6,0.5880295071336958,0.73,0.7158730158730158,0.3076923076923077,0.6666666666666666,0.2,0.7,2,1,19,8,30,10,7.184478998184204
7,0.3986768225828807,0.535,0.3732273473652784,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,7.174592971801758
8,0.27164217415783143,0.5325,0.4130753968253968,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,7.175825357437134
