epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7084595561027527,0.6722222222222223,0.4813095238095238,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,4.039809703826904
2,0.6830364746205947,0.7555555555555555,0.5694879578625709,0.5263157894736842,0.35714285714285715,1.0,0.35714285714285715,10,18,0,0,28,10,3.729494571685791
3,0.7002982988077051,0.6388888888888888,0.618686424402537,0.4,0.6,0.3,0.6785714285714286,3,2,16,7,28,10,3.670752763748169
4,0.6591617815634784,0.6722222222222223,0.6296670151314114,0.5714285714285714,0.5454545454545454,0.6,0.6785714285714286,6,5,13,4,28,10,3.748167037963867
5,0.5495093692751492,0.6666666666666666,0.5864022374777523,0.56,0.4666666666666667,0.7,0.6071428571428571,7,8,10,3,28,10,3.729811906814575
