model,condition,variant,n_runs,n_seeds,auroc_above_half,auroc_below_half,auroc_equal_half,auroc_mean,auroc_std,ap_mean,ap_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,best_val_auroc_mean,best_val_auroc_std,tp_mean,fp_mean,tn_mean,fn_mean,n_mean,n_pos_mean,delta_auroc_mean
finbert,full,trunc-head,10,10,4,6,0,0.480050505050505,0.12695349708750042,0.4178794870339617,0.10337543481705963,0.2317089947089947,0.21852108543102902,0.2529310344827586,0.25132360510392787,0.26363636363636367,0.31036576070471195,0.5,0.13330360350279544,0.6205,0.12370327400679418,2.9,6.4,11.6,8.1,29.0,11.0,-0.019949494949494995
finbert,full,trunc-middle,10,10,5,4,1,0.5244949494949495,0.10597405746654102,0.44359213023356653,0.09529764820062907,0.09018062397372742,0.15287051192854548,0.13055555555555556,0.1717586353188228,0.09090909090909091,0.19638608176993513,0.5689655172413792,0.049438650960015075,0.47275,0.16147088660876985,1.0,2.5,15.5,10.0,29.0,11.0,0.02449494949494946
finbert,full,lowlr,10,10,6,4,0,0.5224747474747475,0.07735365069390594,0.4890477422182484,0.11112483036600865,0.44595253884046987,0.07551869121956428,0.5264267758385406,0.2560554147032796,0.49090909090909085,0.1777318581650325,0.5551724137931036,0.10714962010502453,0.508,0.16318360484095482,5.4,7.3,10.7,5.6,29.0,11.0,0.022474747474747536
finbert,full,frozen,10,10,8,1,1,0.5323232323232323,0.037185957112388916,0.4620004581134263,0.05147526832875782,0.4236884953013985,0.1516945070913857,0.39427353735016274,0.07037767564989549,0.5454545454545455,0.2535333413739623,0.506896551724138,0.07971742935356184,0.33599999999999997,0.028944391128123217,6.0,9.3,8.7,5.0,29.0,11.0,0.03232323232323231
finbert,qa,trunc-head,10,10,6,4,0,0.5334375,0.11596749200266807,0.4798114885891841,0.08977144348179025,0.3833758185548467,0.20359650573671614,0.3699789377289377,0.1609451662389665,0.4600000000000001,0.3306559138036599,0.5307692307692308,0.11147212881684186,0.6186111111111111,0.13044748613611468,4.6,6.8,9.2,5.4,26.0,10.0,0.03343750000000001
finbert,qa,trunc-middle,10,10,6,4,0,0.49468750000000006,0.0741275938744211,0.45032048299735744,0.08330557956191419,0.4062024424775804,0.12925430323689613,0.3880858030858031,0.07812382369475909,0.47000000000000003,0.2496664441476534,0.523076923076923,0.06332866171912034,0.6819444444444445,0.08314020831512951,4.7,7.1,8.9,5.3,26.0,10.0,-0.005312499999999942
finbert,qa,lowlr,10,10,3,7,0,0.4809374999999999,0.12962326889983056,0.47116194039131176,0.14111581240271887,0.30731185481185486,0.15443761315681465,0.4828787878787879,0.3087902082563971,0.25999999999999995,0.1577621275493231,0.5884615384615384,0.07702984043999898,0.5308333333333334,0.18476085644441595,2.6,3.3,12.7,7.4,26.0,10.0,-0.019062500000000093
finbert,qa,frozen,10,10,2,8,0,0.4609375,0.05285367806238487,0.40418557930792076,0.03675154307182672,0.19119810744810742,0.1989795194619006,0.20044563279857397,0.17642553906230812,0.24,0.30258148581093913,0.5115384615384615,0.10264419949357996,0.36694444444444446,0.08087368005847312,2.4,5.1,10.9,7.6,26.0,10.0,-0.0390625
finbert,scripted,trunc-head,10,10,4,6,0,0.5131313131313131,0.11165056272175186,0.42846674312119015,0.1132236528855875,0.3345497248561196,0.26697123695050595,0.2575757575757575,0.19562936680747442,0.509090909090909,0.4268319239190063,0.496551724137931,0.09644219293518637,0.64925,0.12484462565747699,5.6,9.2,8.8,5.4,29.0,11.0,0.013131313131313105
finbert,scripted,trunc-middle,10,10,2,8,0,0.4545454545454545,0.09682696191615087,0.4072492466855442,0.07703017846320717,0.2942093523969585,0.19211448420582403,0.30761363636363637,0.19804633638230631,0.3363636363636363,0.27457287975937683,0.506896551724138,0.08454333585486573,0.5900000000000001,0.11477635257800763,3.7,7.0,11.0,7.3,29.0,11.0,-0.045454545454545525
