epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7347595359597887,0.34,0.31380678708264914,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,30.092918395996094
2,0.7036720522812434,0.43,0.3374003775423213,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.94989585876465
3,0.6873151889869145,0.505,0.3582142857142857,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.93070697784424
4,0.6893111952713558,0.39749999999999996,0.2968271221532091,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.819566249847412
5,0.6824107783181327,0.375,0.29120928969327137,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,29.901573419570923
6,0.5776383638381958,0.46499999999999997,0.3296014492753623,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,29.827980279922485
