epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6961139771673415,0.6777777777777778,0.6227635327635327,0.7,0.7,0.7,0.7857142857142857,7,3,15,3,28,10,2.671344757080078
2,0.7031354109446207,0.7444444444444446,0.7342185592185592,0.5263157894736842,0.35714285714285715,1.0,0.35714285714285715,10,18,0,0,28,10,2.3438806533813477
3,0.6780260271496243,0.7361111111111112,0.6433957219251336,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.352004051208496
4,0.6681771741973029,0.675,0.6373003694231315,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.319344997406006
5,0.6253902018070221,0.6083333333333334,0.5491425591951907,0.18181818181818182,1.0,0.1,0.6785714285714286,1,0,18,9,28,10,2.323606491088867
