epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6970334854914988,0.59,0.4611666666666666,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.35641074180603
2,0.6380254330394937,0.61,0.4662630616509927,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.21481084823608
3,0.5576444583134257,0.28,0.29791235334713595,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.01229858398438
4,0.454559447337612,0.43499999999999994,0.41419026850211255,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,115.92877697944641
5,0.3339262317410476,0.3675,0.31708059937642513,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,116.08816003799438
