epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7418740012428977,0.6805555555555556,0.5766176470588236,0.5263157894736842,0.35714285714285715,1.0,0.35714285714285715,10,18,0,0,28,10,26.996108293533325
2,0.7270426226384712,0.475,0.42664925654056085,0.5263157894736842,0.35714285714285715,1.0,0.35714285714285715,10,18,0,0,28,10,26.796682119369507
3,0.7128755152225494,0.6611111111111112,0.49819004524886884,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,26.55135202407837
4,0.7264473384076898,0.37777777777777777,0.3731481481481481,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,26.669737815856934
