epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6777808732456632,0.265,0.2761711972238288,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.254715919494629
2,0.6878898243109385,0.31,0.2877932120309616,0.3870967741935484,0.2857142857142857,0.6,0.36666666666666664,6,15,5,4,30,10,2.9098217487335205
3,0.685151477654775,0.29500000000000004,0.2727673782156541,0.21052631578947367,0.2222222222222222,0.2,0.5,2,7,13,8,30,10,2.9661779403686523
4,0.6896169400877423,0.27,0.26259231935638466,0.23076923076923078,0.1875,0.3,0.3333333333333333,3,13,7,7,30,10,2.98394775390625
5,0.6877167390452491,0.27999999999999997,0.2652625474364605,0.0,0.0,0.0,0.5333333333333333,0,4,16,10,30,10,2.968090772628784
6,0.695773204167684,0.30499999999999994,0.2747515051997811,0.3870967741935484,0.2857142857142857,0.6,0.36666666666666664,6,15,5,4,30,10,3.013740301132202
7,0.6844942685630586,0.29000000000000004,0.2740822510822511,0.3333333333333333,0.25,0.5,0.3333333333333333,5,15,5,5,30,10,2.946106433868408
