epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7358968811375755,0.475,0.3280952380952381,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,30.109101057052612
2,0.7578531009810311,0.4175,0.3582010582010582,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.989707231521606
3,0.6964696092264993,0.34750000000000003,0.2906443747823058,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.879366397857666
4,0.6551153353282384,0.485,0.36429376179376183,0.3870967741935484,0.2857142857142857,0.6,0.36666666666666664,6,15,5,4,30,10,29.797085285186768
5,0.599868351646832,0.5249999999999999,0.48725332139125244,0.375,0.5,0.3,0.6666666666666666,3,3,17,7,30,10,29.8936288356781
6,0.4549503926719938,0.40499999999999997,0.33233954451345754,0.2608695652173913,0.23076923076923078,0.3,0.43333333333333335,3,10,10,7,30,10,29.846198797225952
7,0.30964569257838387,0.4475,0.3543405674784985,0.26666666666666666,0.4,0.2,0.6333333333333333,2,3,17,8,30,10,29.81664752960205
8,0.201410400295364,0.46499999999999997,0.3501911928651059,0.15384615384615385,0.3333333333333333,0.1,0.6333333333333333,1,2,18,9,30,10,30.00926375389099
