epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.715038513436037,0.7194444444444446,0.5840350877192982,0.6153846153846154,0.5,0.8,0.6428571428571429,8,8,10,2,28,10,4.046264886856079
2,0.6895188724293428,0.7111111111111111,0.6520171957671959,0.4,0.6,0.3,0.6785714285714286,3,2,16,7,28,10,3.7314865589141846
3,0.637570205856772,0.6722222222222223,0.616005291005291,0.5,0.5,0.5,0.6428571428571429,5,5,13,5,28,10,3.6954448223114014
4,0.4762934218434727,0.65,0.6089915458937198,0.5,0.5,0.5,0.6428571428571429,5,5,13,5,28,10,3.7102344036102295
