epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6966225329567405,0.5388888888888889,0.5081332778586782,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.644919395446777
2,0.7028129451415118,0.4861111111111111,0.4697645502645502,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.271890163421631
3,0.6841725216192358,0.4861111111111111,0.5087255892255892,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.281532526016235
4,0.6895528225337758,0.4833333333333333,0.4125793650793651,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.276911497116089
