epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7142189495703753,0.25,0.2808883465885754,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.2507245540618896
2,0.6902699084842906,0.25555555555555554,0.27851066580478345,0.09090909090909091,0.08333333333333333,0.1,0.2857142857142857,1,11,7,9,28,10,1.8938746452331543
3,0.6967608192387749,0.25,0.27526556776556776,0.125,0.16666666666666666,0.1,0.5,1,5,13,9,28,10,1.8965413570404053
4,0.7232304005061879,0.25,0.27526556776556776,0.0,0.0,0.0,0.6071428571428571,0,1,17,10,28,10,1.9101943969726562
5,0.7237327677362105,0.2666666666666667,0.278259457933371,0.4117647058823529,0.2916666666666667,0.7,0.2857142857142857,7,17,1,3,28,10,1.884131669998169
6,0.700849357773276,0.27222222222222225,0.2801078288606893,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,1.9107210636138916
7,0.7268284611842212,0.2777777777777778,0.2802268764797369,0.42424242424242425,0.30434782608695654,0.7,0.32142857142857145,7,16,2,3,28,10,1.905569076538086
8,0.7096340533565072,0.26111111111111107,0.2772619047619047,0.42857142857142855,0.3333333333333333,0.6,0.42857142857142855,6,12,6,4,28,10,1.9055373668670654
9,0.685165179126403,0.28888888888888886,0.2865100980890455,0.4,0.3,0.6,0.35714285714285715,6,14,4,4,28,10,1.9066944122314453
10,0.6876374886316412,0.3111111111111111,0.29468470126364865,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,1.8996913433074951
11,0.7424613307504093,0.2777777777777778,0.2828063603063603,0.36363636363636365,0.2608695652173913,0.6,0.25,6,17,1,4,28,10,1.8985722064971924
12,0.6980680840856889,0.2833333333333333,0.2853232294021768,0.3076923076923077,0.25,0.4,0.35714285714285715,4,12,6,6,28,10,1.8908486366271973
13,0.6510351265178007,0.31666666666666665,0.2968519784309258,0.2857142857142857,0.2727272727272727,0.3,0.4642857142857143,3,8,10,7,28,10,1.8906121253967285
14,0.638214086785036,0.3111111111111111,0.29657969033255077,0.41379310344827586,0.3157894736842105,0.6,0.39285714285714285,6,13,5,4,28,10,1.9105372428894043
15,0.6884120597558863,0.2888888888888889,0.28714141122035863,0.34782608695652173,0.3076923076923077,0.4,0.4642857142857143,4,9,9,6,28,10,1.8796069622039795
16,0.6743311250911039,0.35,0.3167617908407382,0.34782608695652173,0.3076923076923077,0.4,0.4642857142857143,4,9,9,6,28,10,1.8963565826416016
17,0.6735099659246557,0.3388888888888889,0.31153451811346544,0.2962962962962963,0.23529411764705882,0.4,0.32142857142857145,4,13,5,6,28,10,1.9059596061706543
18,0.6657438015236574,0.3055555555555556,0.2940155877684482,0.2962962962962963,0.23529411764705882,0.4,0.32142857142857145,4,13,5,6,28,10,1.8983361721038818
19,0.6677287203424117,0.33333333333333337,0.3056903622693096,0.2962962962962963,0.23529411764705882,0.4,0.32142857142857145,4,13,5,6,28,10,1.9061498641967773
20,0.668882725869908,0.34444444444444444,0.314023695602643,0.41379310344827586,0.3157894736842105,0.6,0.39285714285714285,6,13,5,4,28,10,1.9062104225158691
21,0.6524028830668506,0.36111111111111105,0.32652369560264294,0.0,0.0,0.0,0.6071428571428571,0,1,17,10,28,10,1.9214930534362793
22,0.6355080359122333,0.35833333333333334,0.32205399863294604,0.2962962962962963,0.23529411764705882,0.4,0.32142857142857145,4,13,5,6,28,10,1.9454865455627441
23,0.641201971208348,0.37222222222222223,0.3378873319662793,0.3076923076923077,0.25,0.4,0.35714285714285715,4,12,6,6,28,10,1.905806303024292
24,0.6364554903086495,0.35,0.32424202799488844,0.3076923076923077,0.25,0.4,0.35714285714285715,4,12,6,6,28,10,1.9010066986083984
25,0.6165459576775046,0.37222222222222223,0.3497920938710412,0.36363636363636365,0.3333333333333333,0.4,0.5,4,8,10,6,28,10,1.9112811088562012
26,0.6540519700330847,0.38333333333333336,0.35991114149008885,0.3333333333333333,0.2857142857142857,0.4,0.42857142857142855,4,10,8,6,28,10,1.9423472881317139
27,0.651817987946903,0.3555555555555556,0.3409086946615551,0.4,0.3,0.6,0.35714285714285715,6,14,4,4,28,10,1.893883228302002
28,0.6712521314620972,0.38333333333333336,0.35991114149008885,0.41379310344827586,0.3157894736842105,0.6,0.39285714285714285,6,13,5,4,28,10,1.8992059230804443
29,0.6518071609384873,0.39444444444444443,0.36799194957089687,0.2962962962962963,0.23529411764705882,0.4,0.32142857142857145,4,13,5,6,28,10,1.9116010665893555
30,0.6605792291024152,0.39444444444444443,0.36799194957089687,0.2962962962962963,0.23529411764705882,0.4,0.32142857142857145,4,13,5,6,28,10,1.886704683303833
