epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7038458024754244,0.35555555555555557,0.4482764625731377,0.23529411764705882,0.2857142857142857,0.2,0.5357142857142857,2,5,13,8,28,10,7.612455606460571
2,0.7165893035776475,0.5277777777777778,0.5054914529914529,0.5263157894736842,0.35714285714285715,1.0,0.35714285714285715,10,18,0,0,28,10,7.273926734924316
3,0.6873912881402409,0.4222222222222222,0.34534219001610306,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.294022560119629
4,0.6972847475725061,0.4722222222222222,0.3962376351506786,0.3,0.3,0.3,0.5,3,7,11,7,28,10,7.298490047454834
5,0.6780806078630335,0.49166666666666664,0.38311594202898547,0.48484848484848486,0.34782608695652173,0.8,0.39285714285714285,8,15,3,2,28,10,7.285128593444824
