epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6815005720948144,0.485,0.37648902821316615,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,115.95467257499695
2,0.6384564198607163,0.765,0.690893015030946,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,115.68231296539307
3,0.6276975317503051,0.665,0.5501845130066546,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,115.69260001182556
4,0.6117768603370344,0.7550000000000001,0.6445410336789646,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,115.68966484069824
5,0.6148213595419908,0.6900000000000001,0.503614411281754,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,115.8807954788208
