epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.672872823827407,0.21666666666666667,0.26566427432216905,0.0,0.0,0.0,0.6071428571428571,0,1,17,10,28,10,2.7785422801971436
2,0.6887120306491852,0.23333333333333334,0.27095938375350137,0.4,0.3,0.6,0.35714285714285715,6,14,4,4,28,10,2.418421983718872
3,0.6843855784219854,0.2666666666666667,0.2842679172679173,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.398707628250122
4,0.69795902336345,0.23888888888888887,0.27120448179271706,0.3870967741935484,0.2857142857142857,0.6,0.32142857142857145,6,15,3,4,28,10,2.3275890350341797
5,0.7740827553412494,0.2222222222222222,0.2658815789473684,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.3758909702301025
6,0.6738871265860165,0.25555555555555554,0.27456238206238204,0.4375,0.3181818181818182,0.7,0.35714285714285715,7,15,3,3,28,10,2.2850749492645264
7,0.6676787102923674,0.2833333333333333,0.28559179382708794,0.4,0.3,0.6,0.35714285714285715,6,14,4,4,28,10,2.2434113025665283
8,0.6611624114653644,0.28888888888888886,0.2867632367632368,0.1111111111111111,0.125,0.1,0.42857142857142855,1,7,11,9,28,10,2.521250009536743
9,0.6743301977129543,0.3111111111111111,0.31829722129722127,0.15384615384615385,0.3333333333333333,0.1,0.6071428571428571,1,2,16,9,28,10,2.367032766342163
10,0.6758219739970039,0.2833333333333333,0.28475468975468976,0.2857142857142857,0.2222222222222222,0.4,0.2857142857142857,4,14,4,6,28,10,2.3534750938415527
11,0.6773627891260035,0.3,0.29398545898545897,0.2,0.2,0.2,0.42857142857142855,2,8,10,8,28,10,2.3557229042053223
12,0.6662781589171466,0.29444444444444445,0.28748689906584646,0.42424242424242425,0.30434782608695654,0.7,0.32142857142857145,7,16,2,3,28,10,2.2522974014282227
13,0.7436297080096077,0.2833333333333333,0.28342845750740486,0.2,0.2,0.2,0.42857142857142855,2,8,10,8,28,10,2.20373272895813
14,0.66422139897066,0.3055555555555555,0.29808802308802307,0.3870967741935484,0.2857142857142857,0.6,0.32142857142857145,6,15,3,4,28,10,2.24045729637146
