epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.729067196448644,0.605,0.46626966171083817,0.5294117647058824,0.375,0.9,0.4666666666666667,9,15,5,1,30,10,3.873455047607422
2,0.6784898638725281,0.71,0.6506594146594147,0.18181818181818182,1.0,0.1,0.7,1,0,20,9,30,10,3.564925193786621
3,0.6258952799770567,0.735,0.692419413919414,0.5714285714285714,0.4444444444444444,0.8,0.6,8,10,10,2,30,10,3.564213514328003
4,0.5632245788971583,0.69,0.6764761904761905,0.6086956521739131,0.5384615384615384,0.7,0.7,7,6,14,3,30,10,3.5777065753936768
5,0.4076689945326911,0.735,0.7176423001949317,0.47058823529411764,0.5714285714285714,0.4,0.7,4,3,17,6,30,10,3.5720088481903076
6,0.2938271347019408,0.6799999999999999,0.6390494505494505,0.375,0.5,0.3,0.6666666666666666,3,3,17,7,30,10,3.576739549636841
