epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7937117544087496,0.2444444444444445,0.276555189979103,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,27.237420082092285
2,0.7057823511687192,0.41111111111111115,0.3453085151563412,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,27.057376384735107
3,0.6610553409114028,0.3111111111111111,0.30026140043531346,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,26.94706082344055
4,0.6495562168684873,0.36944444444444446,0.3568136308136308,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,27.097717761993408
5,0.4621850803042903,0.30000000000000004,0.3233698057176318,0.2222222222222222,0.25,0.2,0.5,2,6,12,8,28,10,27.034543752670288
