epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7113066977924771,0.5075,0.48129156575558374,0.5,0.34615384615384615,0.9,0.4,9,17,3,1,30,10,3.9846339225769043
2,0.6544760399394565,0.685,0.6482219134793504,0.18181818181818182,1.0,0.1,0.7,1,0,20,9,30,10,3.6740403175354004
3,0.5328419208526611,0.635,0.6063174603174604,0.5384615384615384,0.4375,0.7,0.6,7,9,11,3,30,10,3.6727120876312256
4,0.3749963947468334,0.7100000000000001,0.65554457619675,0.56,0.4666666666666667,0.7,0.6333333333333333,7,8,12,3,30,10,3.6864778995513916
5,0.27479920039574307,0.6749999999999999,0.6181018062397372,0.3076923076923077,0.6666666666666666,0.2,0.7,2,1,19,8,30,10,3.6427905559539795
6,0.13466555004318556,0.6825,0.6202737613263929,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.6712751388549805
7,0.09064594180219704,0.6224999999999999,0.5531428571428572,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.7189993858337402
