Condition,Model,Split,AUROC,PR_AUC,HR_Prec,HR_Rec,HR_F1,HP_Prec,HP_Rec,HP_F1
full_text,Logistic Regression,Train,1.0,0.9999999999999999,0.3237410071942446,1.0,0.4891304347826087,0.0,0.0,0.0
full_text,Logistic Regression,Validation,0.8099999999999999,0.584018759018759,0.3333333333333333,1.0,0.5,0.0,0.0,0.0
full_text,Logistic Regression,Test,0.6313131313131313,0.46804559077286345,0.3793103448275862,1.0,0.55,0.0,0.0,0.0
full_text,SVM (Linear),Train,1.0,1.0,0.9574468085106383,1.0,0.9782608695652174,1.0,0.7333333333333333,0.8461538461538461
full_text,SVM (Linear),Validation,0.82,0.6667460317460316,0.5555555555555556,0.5,0.5263157894736842,0.0,0.0,0.0
full_text,SVM (Linear),Test,0.6565656565656566,0.4860659981213341,0.5555555555555556,0.45454545454545453,0.5,0.0,0.0,0.0
full_text,Random Forest,Train,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9655172413793104
full_text,Random Forest,Validation,0.48250000000000004,0.3855109717868339,0.3,0.6,0.4,0.0,0.0,0.0
full_text,Random Forest,Test,0.5909090909090909,0.45258469152331043,0.47058823529411764,0.7272727272727273,0.5714285714285714,0.0,0.0,0.0
scripted_text,Logistic Regression,Train,1.0,0.9999999999999999,0.3358208955223881,1.0,0.5027932960893855,0.0,0.0,0.0
scripted_text,Logistic Regression,Validation,0.675,0.49685324422166527,0.3333333333333333,1.0,0.5,0.0,0.0,0.0
scripted_text,Logistic Regression,Test,0.5252525252525252,0.40897940443394987,0.39285714285714285,1.0,0.5641025641025641,0.0,0.0,0.0
scripted_text,SVM (Linear),Train,1.0,1.0000000000000002,0.9,1.0,0.9473684210526315,1.0,0.5333333333333333,0.6956521739130435
scripted_text,SVM (Linear),Validation,0.6599999999999999,0.48071428571428565,0.4166666666666667,0.5,0.45454545454545453,0.0,0.0,0.0
scripted_text,SVM (Linear),Test,0.5303030303030303,0.4050793650793651,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.0,0.0,0.0
scripted_text,Random Forest,Train,1.0,1.0,1.0,1.0,1.0,1.0,0.8444444444444444,0.9156626506024096
scripted_text,Random Forest,Validation,0.605,0.4661251885369533,0.3684210526315789,0.7,0.4827586206896552,0.0,0.0,0.0
scripted_text,Random Forest,Test,0.5454545454545454,0.44428046700773977,0.38461538461538464,0.45454545454545453,0.4166666666666667,0.0,0.0,0.0
qa_text,Logistic Regression,Train,0.9988179669030732,0.9955555555555555,0.3237410071942446,1.0,0.4891304347826087,0.0,0.0,0.0
qa_text,Logistic Regression,Validation,0.9200000000000002,0.8854093567251461,0.3333333333333333,1.0,0.5,0.0,0.0,0.0
qa_text,Logistic Regression,Test,0.4292929292929293,0.3454052242906732,0.3793103448275862,1.0,0.55,0.0,0.0,0.0
qa_text,SVM (Linear),Train,0.9988179669030732,0.9955555555555556,0.9,1.0,0.9473684210526315,1.0,0.4666666666666667,0.6363636363636364
qa_text,SVM (Linear),Validation,0.92,0.8895959595959597,0.75,0.6,0.6666666666666666,0.0,0.0,0.0
qa_text,SVM (Linear),Test,0.45454545454545453,0.3584421873276362,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.0,0.0,0.0
qa_text,Random Forest,Train,0.9988179669030732,0.9955555555555554,0.9,1.0,0.9473684210526315,1.0,0.9111111111111111,0.9534883720930233
qa_text,Random Forest,Validation,0.675,0.5019374193058403,0.4375,0.7,0.5384615384615384,0.0,0.0,0.0
qa_text,Random Forest,Test,0.4823232323232323,0.38034700751697503,0.3333333333333333,0.45454545454545453,0.38461538461538464,0.0,0.0,0.0
