epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6528706734986613,0.7474999999999999,0.7135338345864661,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.9335765838623
2,0.6272200993496737,0.56,0.49782051282051276,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.36309242248535
3,0.5755536209979504,0.61,0.60464816792403,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.44607090950012
4,0.48814776437960083,0.49,0.3999124036882657,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.61284565925598
