epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7471863729613167,0.5549999999999999,0.4111111111111111,0.5,0.3333333333333333,1.0,0.3333333333333333,10,20,0,0,30,10,30.062093019485474
2,0.7200385246958051,0.49,0.362839624143972,0.5142857142857142,0.36,0.9,0.43333333333333335,9,16,4,1,30,10,29.964473485946655
3,0.6878837696143559,0.41500000000000004,0.32146127946127945,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,29.88516855239868
4,0.644317034312657,0.42500000000000004,0.32239484653277756,0.2222222222222222,0.25,0.2,0.5333333333333333,2,6,14,8,30,10,29.76626467704773
