epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7301246498312269,0.5750000000000001,0.49511235543844234,0.25,0.3333333333333333,0.2,0.6,2,4,16,8,30,10,28.34710454940796
2,0.6254273125103542,0.5599999999999999,0.42467584750193443,0.0,0.0,0.0,0.6,0,2,18,10,30,10,28.115253448486328
3,0.43668595084122247,0.53,0.37758922994217115,0.26666666666666666,0.4,0.2,0.6333333333333333,2,3,17,8,30,10,28.077192306518555
4,0.33228320351668766,0.61,0.5160409035409035,0.2857142857142857,0.2727272727272727,0.3,0.5,3,8,12,7,30,10,27.98018789291382
5,0.23482113895671708,0.685,0.49242979242979246,0.2857142857142857,0.5,0.2,0.6666666666666666,2,2,18,8,30,10,28.164196014404297
6,0.2817592330276966,0.4225,0.397673578243558,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,28.024585723876953
7,0.0821480062923261,0.5175000000000001,0.4104673775943126,0.3076923076923077,0.6666666666666666,0.2,0.7,2,1,19,8,30,10,28.199286699295044
8,0.07420901738639389,0.5499999999999999,0.4455368927257983,0.25,0.3333333333333333,0.2,0.6,2,4,16,8,30,10,28.1283175945282
