epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.680335027330062,0.25,0.27580786860198625,0.0,0.0,0.0,0.39285714285714285,0,7,11,10,28,10,4.025558233261108
2,0.6757342990706948,0.2833333333333333,0.29635688820982936,0.0,0.0,0.0,0.39285714285714285,0,7,11,10,28,10,3.7306368350982666
3,0.637245469233569,0.3,0.28789898697793437,0.2,0.2,0.2,0.42857142857142855,2,8,10,8,28,10,3.7542200088500977
4,0.6130774476948906,0.2972222222222222,0.2882072829131653,0.32,0.26666666666666666,0.4,0.39285714285714285,4,11,7,6,28,10,3.703976631164551
5,0.6131849604494432,0.2833333333333333,0.28620068820068817,0.2,0.2,0.2,0.42857142857142855,2,8,10,8,28,10,3.6881682872772217
6,0.5904589295387268,0.2944444444444444,0.2892384184443008,0.19047619047619047,0.18181818181818182,0.2,0.39285714285714285,2,9,9,8,28,10,3.702401638031006
