epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6975167228115929,0.2975,0.2673088336783989,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,5.07104754447937
2,0.6926142440901862,0.34750000000000003,0.28476698155645525,0.5,0.3333333333333333,1.0,0.3333333333333333,10,20,0,0,30,10,4.688950777053833
3,0.6722925537162356,0.405,0.3752736892736893,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,4.686931133270264
4,0.6041994045178095,0.405,0.388114337568058,0.21052631578947367,0.2222222222222222,0.2,0.5,2,7,13,8,30,10,4.6658713817596436
5,0.4649274895588557,0.39,0.3902597402597403,0.3157894736842105,0.3333333333333333,0.3,0.5666666666666667,3,6,14,7,30,10,4.686317205429077
6,0.3251609024074342,0.3775,0.36802497019888325,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,4.72503662109375
